"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18601","should set login button enabled for password length 9","Authentication - Password Length Validation","2026-09-11","passed","2026-09-11","","","",""
"","18000","should set login button disabled for password length 5","Authentication - Password Length Validation","2026-09-11","passed","2026-09-11","","","",""
"","76475","Away Manager edits and saves own team officials before lock time","Manager team officials - Lock Attendance ON, before lock - own team editable, other team blocked","2026-09-11","failed","2026-09-11","","","",""
"","19024","[COACH-002] Coach opens Your Team","Coach - Persona Checklist","2026-09-11","passed","2026-09-11","","","",""
"","64860","Team 1 Manager submits the Team Sheet and Starting Formation for their own team, and confirms the other team's Team Sheet is not available, before the recording window opens","Manager team sheet pre-recording window permissions","2026-09-11","passed","2026-09-11","","","",""
"","3","should not show the Starting Formation row in Game Details even though Manager normally has field_positions","","2026-09-11","skipped","2026-09-11","","","",""
"","116642","should allow a user to register and land on the home screen","Authentication, Registration Flow","2026-09-11","failed","2026-09-11","","","",""
"","45457","[NOTIF-002] Empty notification list shows the 'All clear' card","Communication - Notifications","2026-09-11","passed","2026-09-11","","","",""
"","59927","[TC-M13] Opens profile & payment pages","Member - Persona Flow","2026-09-11","passed","2026-09-11","","","",""
"","61194","Field Scorer submits the Team Sheet (including shirt numbers) and repositions Starting Formation for both teams during the recording window, and confirms the changes persist","Scorer team sheet recording window permissions","2026-09-11","passed","2026-09-11","","","",""
"","59642","[TC-M6] Opens Shop & Registration webviews without re-login","Member - Persona Checklist","2026-09-11","passed","2026-09-11","","","",""
"","54614","[S27,S28] Tap to Pay Android only for shop admin, Canteen Android only for payment terminal","Shop Admin and Payment Terminal - Persona Checklist","2026-09-11","failed","2026-09-11","","","",""
"","17199","TC-G1 - Guest sees the sign-in bottom navigation & TC-G2 - Account tab shows Register, Follow, Log in","Guest - Persona Checklist","2026-09-11","passed","2026-09-11","","","",""
"","73415","Field Scorer confirms Substitution stays editable but Starting Formation becomes read-only for both teams once the match reaches the locked window (before kickoff)","Scorer team sheet locked window (before match start) permissions","2026-09-11","passed","2026-09-11","","","",""
"","122116","Field Scorer confirms Substitution stays editable but Starting Formation becomes read-only for both teams once the match has started (post-match window)","Scorer team sheet post-match window permissions","2026-09-11","failed","2026-09-11","","","",""
"","60561","F41 - Manager Assigns a Referee","Manager Assigns a Referee","2026-09-11","passed","2026-09-11","","","",""
"","41960","should allow a registered user to log in and land on the home screen","Authentication - Login Flow","2026-09-11","passed","2026-09-11","","","",""
"","107644","log in with valid credentials, open a match, update team officials by adding respective roles","Referee team officials after lock permissions - both teams editable before lock","2026-09-11","failed","2026-09-11","","","",""
"","4","should show a team's players in Starting Formation only once that team's own Team Sheet has been submitted","","2026-09-11","skipped","2026-09-11","","","",""
"","66943","Team 2 Manager logs back in during the locked window and sees a read-only Substitution row and cannot reposition players for either team","Manager team sheet locked window permissions","2026-09-11","passed","2026-09-11","","","",""
"","124648","player's personal foul tally and the team foul column both increase by exactly one","Scorer records a personal foul against a player and both tallies increment","2026-09-11","failed","2026-09-11","","","",""
"","60035","[TC-M14] Opens My Events","Member - Persona Flow","2026-09-11","passed","2026-09-11","","","",""
"","66920","Team 2 Manager submits the Team Sheet and Starting Formation for their own team, and confirms the other team's Team Sheet is not available, before the recording window opens","Manager team sheet pre-recording window permissions","2026-09-11","passed","2026-09-11","","","",""
"","56788","[TC-G7] Wrong password shows error, stays on sign-in nav","Guest - Persona Flow","2026-09-11","passed","2026-09-11","","","",""
"","76333","[TC-M17] Opens User Videos","Member - Persona Flow","2026-09-11","failed","2026-09-11","","","",""
"","117261","Set up the Team Sheet before kickoff, start the match, then confirm Coach sees Substitution stay editable but Starting Formation become read-only once the match has started (post-match window)","Coach team sheet post-match window permissions","2026-09-11","failed","2026-09-11","","","",""
"","18497","should set login button disabled for password length 7","Authentication - Password Length Validation","2026-09-11","passed","2026-09-11","","","",""
"","59885","Coach submits the Team Sheet and repositions Starting Formation for both teams before the recording window opens","Coach team sheet pre-recording window permissions","2026-09-11","passed","2026-09-11","","","",""
"","77207","[TC-G16] Guest browses public Ladders / Draws / News","Guest - Persona Flows","2026-09-11","failed","2026-09-11","","","",""
"","54225","should display an error message for invalid login credential combinations","Authentication - Invalid Login Flow with invalid credentials","2026-09-11","passed","2026-09-11","","","",""
"","56973","[TC-M9] Member signs out then signs back in","Member - Persona Flow","2026-09-11","passed","2026-09-11","","","",""
"","25623","TC-G3 - More menu hides member-only items & TC-G4 - Updates tab shows News and Notifications only & TC-G5 - Choose Language matches app version","Guest - Persona Checklist","2026-09-11","passed","2026-09-11","","","",""
"","117547","Home Manager edits and saves own team officials before lock time","Manager team officials - Lock Attendance ON, before lock - own team editable, other team blocked","2026-09-11","failed","2026-09-11","","","",""
"","64510","log in with valid credentials, open a match, update team officials by adding respective roles","Home team Manager team officials after lock permissions - home team not editable","2026-09-11","broken","2026-09-11","","","",""
"","87760","TC-P1,P2,P3 - Start viewing as child & banner on key screens, Register shows an alert instead of the page, Hides Password / Tap-to-Pay / Canteen","Parent-as-child - Persona Checklist","2026-09-11","failed","2026-09-11","","","",""
"","115426","log in with valid credentials, open a match, update team officials by adding respective roles","Scorer team officials before lock permissions - both teams editable before lock","2026-09-11","failed","2026-09-11","","","",""
"","120901","should log in with valid credentials, open a match, manage team sheets, start or resume play, and validate score increment and undo actions","Scorer - Persona Flows","2026-09-11","failed","2026-09-11","","","",""
"","18181","[HOME-007] My Memberships is not available under My Profile on Squadi","Member - Persona Flow","2026-09-11","passed","2026-09-11","","","",""
"","26509","[COACH-003] Coach opens Your Schedule","Coach - Persona Checklist","2026-09-11","passed","2026-09-11","","","",""
"","3","[APP-008, 005] Offline banner appears on connectivity loss and clears on reconnection, App shell renders without crash on cold start while offline","","2026-09-11","skipped","2026-09-11","","","",""
"","102752","[F44] Umpire views Referee Activity","Umpire - Persona Flow","2026-09-11","failed","2026-09-11","","","",""
"","120225","should log in with valid credentials, open a match, manage team sheets, start or resume play, and validate score increment and undo actions","Match Scoring Flow","2026-09-11","failed","2026-09-11","","","",""
"","105375","Should log in with valid credentials, open ladder tab and validte elements on screen","Validate ladders tab","2026-09-11","failed","2026-09-11","","","",""
"","49397","should log in with valid credentials, open a match, manage team sheets, start or resume play, and validate score increment and undo actions","Scorer - Persona Checklist","2026-09-11","passed","2026-09-11","","","",""
"","85900","[NOTIF-003] Member dismisses a notification via X and clears all notifications","Communication - Notifications","2026-09-11","failed","2026-09-11","","","",""
"","110615","F40 - Manager Assigns a Scorer","F40 - Manager Assigns a Scorer","2026-09-11","failed","2026-09-11","","","",""
"","64477","Team 2 Manager submits the Team Sheet and Starting Formation for their own team, and confirms the other team's Team Sheet is not available, during the recording window","Manager team sheet recording window permissions","2026-09-11","passed","2026-09-11","","","",""
"","66481","log in with valid credentials, open a match, update team officials by adding respective roles","Away team Manager team officials before lock permissions - only away team editable","2026-09-11","passed","2026-09-11","","","",""
"","77018","TC-P7 - Switch Back to Parent Profile","Parent-as-child - Persona Checklist","2026-09-11","failed","2026-09-11","","","",""
"","87972","TC-P5 - Child View Displays Child's Team, Schedule & ID Card","Parent-as-child - Persona Checklist","2026-09-11","failed","2026-09-11","","","",""
"","49024","[COACH-001] Coach sees coaching match card on Home","Coach - Persona Checklist","2026-09-11","passed","2026-09-11","","","",""
"","26488","[TC-M10] Opens a match from the Home schedule","Member - Persona Flow","2026-09-11","passed","2026-09-11","","","",""
"","19977","[PEND-001] Goal Statistics is not available under My Team on Squadi","Manager Persona Flows","2026-09-11","failed","2026-09-11","","","",""
"","42133","[TC-M7] Change password and stay signed in","Member - Persona Flow","2026-09-11","passed","2026-09-11","","","",""
"","85222","[APP-001, 002] Splash screen renders Squadi AU branding on cold start, Cold start lands on Account tab when signed out + Cold start lands on Home tab when signed in","App Foundation - Splash & Cold Start","2026-09-11","passed","2026-09-11","","","",""
"","174579","start the match, then log in as Referee and confirm the Substitution row is never shown (S10) and the Team Sheet is still editable after the match has started (post-match window)","Referee team sheet post-match window permissions","2026-09-11","failed","2026-09-11","","","",""
"","61552","Away Manager cannot edit either team after lock time","Manager team officials - Lock Attendance ON, after lock - editing blocked for both teams","2026-09-11","passed","2026-09-11","","","",""
"","76519","[TC-G12] Guest resets a forgotten password","Guest - Persona Flows","2026-09-11","failed","2026-09-11","","","",""
"","136576","Team 2 Manager then Team 1 Manager submit their Team Sheets and Starting Formations; once the match reaches the locked window, Team 1 Manager sees a read-only Substitution row and cannot reposition players for either team","Manager team sheet locked window permissions","2026-09-11","passed","2026-09-11","","","",""
"","76723","[TC-G17] Guest opens a public live match page","Guest - Persona Flows","2026-09-11","failed","2026-09-11","","","",""
"","58322","log in as Referee, confirm the Substitution row is never shown (S10), and submit the Team Sheet for both teams before the recording window opens","Referee team sheet pre-recording window permissions","2026-09-11","passed","2026-09-11","","","",""
"","54929","officials already assigned for both teams remain visible and read-only after lock","Home Manager team officials - after lock, can VIEW (not edit) opposite team","2026-09-11","passed","2026-09-11","","","",""
"","80944","Coach submits the Team Sheet and Starting Formation before lock, then confirms Substitution stays editable but Starting Formation becomes read-only once the match reaches the locked window","Coach team sheet locked window permissions","2026-09-11","passed","2026-09-11","","","",""
"","18061","should set login button disabled for password length 6","Authentication - Password Length Validation","2026-09-11","passed","2026-09-11","","","",""
"","123292","TC-P3 - Hides Password / Tap-to-Pay / Canteen","Parent-as-child - Persona Checklist","2026-09-11","broken","2026-09-11","","","",""
"","64201","log in with valid credentials, open a match, update team officials by adding respective roles","Away team Manager team officials after lock permissions - only away team editable","2026-09-11","broken","2026-09-11","","","",""
"","44978","[TC-G9] Guest signs in successfully","Guest - Persona Flow","2026-09-11","passed","2026-09-11","","","",""
"","120604","log in as Referee, open a match after lock time, edit and save officials for both teams","Referee team officials - Lock Attendance ON, after lock - both teams still editable","2026-09-11","failed","2026-09-11","","","",""
"","60567","Home Manager cannot edit either team after lock time","Manager team officials - Lock Attendance ON, after lock - editing blocked for both teams","2026-09-11","passed","2026-09-11","","","",""
"","68657","Team 1 Manager submits the Team Sheet and Starting Formation for their own team, and confirms the other team's Team Sheet is not available, during the recording window","Manager team sheet recording window permissions","2026-09-11","passed","2026-09-11","","","",""
"","20481","[F15] Member opens a news article","Member - Persona Checklist","2026-09-11","passed","2026-09-11","","","",""
"","17977","should set login button enabled for password length 8","Authentication - Password Length Validation","2026-09-11","passed","2026-09-11","","","",""
"","30966","[APP-003] Warm resume restores the previously selected tab","App Foundation - Lifecycle","2026-09-11","passed","2026-09-11","","","",""
"","76616","Team 2 Manager logs in once the match has started and sees a read-only Substitution row and cannot reposition players for either team (post-match window)","Manager team sheet post-match window permissions","2026-09-11","failed","2026-09-11","","","",""
"","58213","log in as Referee, confirm the Substitution row is never shown (S10), and submit the Team Sheet for both teams while the match is in the locked window","Referee team sheet locked window permissions","2026-09-11","passed","2026-09-11","","","",""
"","104590","should allow a registered user to recover forgotten password and log in","Authentication - Forgot Password Flow","2026-09-11","passed","2026-09-11","","","",""
"","116963","editing only Coach preserves Manager, and editing only Manager preserves Coach","Scorer team officials - editing one field does not clear the others","2026-09-11","failed","2026-09-11","","","",""
"","118525","log in with valid credentials, open a match, update team officials by adding respective roles","Referee team officials before lock permissions - both teams editable before lock","2026-09-11","failed","2026-09-11","","","",""
"","104072","[DRAW-003] Filter and round picker switch the draw view","Member - Draw tab filter and round picker","2026-09-11","failed","2026-09-11","","","",""
"Skipped: ""fieldClosure"" is not a feature of Basketball.","11959","[TEAM-009] Field Closer Opens Field Closure","Member - Persona Checklist","2026-09-11","skipped","2026-09-11","","","",""
"","49323","log in as Scorer, open a match after lock time, verify team officials are not editable for either team","Scorer team officials - Lock Attendance ON, after lock - editing blocked for both teams","2026-09-11","passed","2026-09-11","","","",""
"","42801","[TC-M1,M2,M3] Member signs in and lands on Home; Home shows schedule, tasks, news; Home bell opens Updates","Member - Persona Checklist","2026-09-11","passed","2026-09-11","","","",""
"","58137","Coach submits the Team Sheet and repositions Starting Formation for both teams during the recording window","Coach team sheet recording window permissions","2026-09-11","passed","2026-09-11","","","",""
"","76392","Borrows then returns a player (Borrowed Players)","Manager Persona Flows","2026-09-11","failed","2026-09-11","","","",""
"","131740"," Manager Attendance editor matches app & saves a move","Manager Persona Flows","2026-09-11","broken","2026-09-11","","","",""
"","119839","SCORE-002: should continue recording match actions while offline and synchronise after reconnection","Scorer - Offline Match Scoring","2026-09-11","failed","2026-09-11","","","",""
"","23427","[TC-M7] Change password","Member - Persona Checklist","2026-09-11","passed","2026-09-11","","","",""
"","76349","[TC-M16] Signed-in member changes language & shares app","Member - Persona Flow","2026-09-11","failed","2026-09-11","","","",""
"","98873","should validate login button state for supported email formats and allow a registered user to log in successfully","Authentication - Email Validation","2026-09-11","passed","2026-09-11","","","",""
"","28144","should verify password is masked by default and can be toggled to visible","Authentication - Password field masking and visibility toggle","2026-09-11","passed","2026-09-11","","","",""
"","4","should not show the Starting Formation row in Game Settings even though Field Scorer normally has field_positions","","2026-09-11","skipped","2026-09-11","","","",""
"","18770","[TC-M15] App settings persist","Member - Persona Flow","2026-09-11","failed","2026-09-11","","","",""
"","108318","[TC-G10] Guest creates a new account","Guest - Persona Flow","2026-09-11","failed","2026-09-11","","","",""
"","70139","[TC-G11] Registration shows errors for invalid input,","Guest - Persona Flow","2026-09-11","passed","2026-09-11","","","",""
"","33934","Guest cancels sign-in popup","Guest - Persona Flow","2026-09-11","passed","2026-09-11","","","",""
